v_id,cv_cid,video_source_id
DYXS47G3HN5IE31JNSCX,NTFBS3C5O5HPWTX9B8YJ,GCSP1PT2UJB5P145OCZ5
ASSI2272ZRGG2123B2XE,NTFBS3C5O5HPWTX9B8YJ,VC54XNVRMOV9X4FX2V2I
HQHDR4CBKR7CWHB5S9F8,NTFBS3C5O5HPWTX9B8YJ,7SDBUJ0M4Q3AR4PJEXWK
2WJUU6T94HZFBYLTSRL0,NTFBS3C5O5HPWTX9B8YJ,68OEITQH60UK6VW5H42D
P5SLM6WI6M3VC65C849W,NTFBS3C5O5HPWTX9B8YJ,PCTAX0OQ2N101W8TM6EW
EPJ2I4ZGOHGZCWXRYO31,NTFBS3C5O5HPWTX9B8YJ,2OBI1WIJW8GH4SBDX9UX
35RSUJKG5AIBAVLYLYOX,NTFBS3C5O5HPWTX9B8YJ,YG0UB77ST1Y4N4EKEAXP
ILA6O1NFVSQU1A2C3657,NTFBS3C5O5HPWTX9B8YJ,0CWRGV2ZIL66EFCWFWBD
4GRT120JA3FTMJDW87KQ,NTFBS3C5O5HPWTX9B8YJ,15D866BNZGTCNFU1PI2Y
K7EFM1DSE61VKV4B1EU5,NTFBS3C5O5HPWTX9B8YJ,AVFSEBN7XB24C3Q3MJLN
SA9ZIB7K5NH1IYJZYES0,NTFBS3C5O5HPWTX9B8YJ,VOP5QJON96SET9XFVWSQ
FU20CCX7369J3Z73FAY7,NTFBS3C5O5HPWTX9B8YJ,EJD4VCQQA4VK4HXJM3LA
PXHT6RJY7X7JH2GZZZ4G,NTFBS3C5O5HPWTX9B8YJ,TXIQIFDNI8QT9HCCQ192
FO49R8WM28VQN37FH4ZU,NTFBS3C5O5HPWTX9B8YJ,C4BCUOK1J4FPY4GVMI5D
D1DRQBV33MY91YFN8TEV,NTFBS3C5O5HPWTX9B8YJ,H9RLNK1KFCCVI0ZGMQQA
7HA9D9UDG69HCJ54GHWS,NTFBS3C5O5HPWTX9B8YJ,1TDS0RZE1TRKO915SJXP
PAV4474J7SW5Z6XUTI22,NTFBS3C5O5HPWTX9B8YJ,K02JSTZI4GQJCMXTH60Q
6LR46D8ZZSED97IS76UL,NTFBS3C5O5HPWTX9B8YJ,CQBUAV8235FIDRLDFC2H
7HBWXW8BBQGHZXEO1WEY,NTFBS3C5O5HPWTX9B8YJ,XIYU7BRM80SQZ1JVKPAR
7ATZTAP2PR6S5HNZX3OA,NTFBS3C5O5HPWTX9B8YJ,M1LGS7CWLQXKYRTVP7AE
7YJ51BDERU1Y2NBY3ACH,NTFBS3C5O5HPWTX9B8YJ,4MAX3V98I5HNL9Z40RG6
DC3UIH446S4GWG2DDG3Y,NTFBS3C5O5HPWTX9B8YJ,ELHOMQE3LAUCRTNBRUSP
WB1MNM32FR2TJP962Y6G,NTFBS3C5O5HPWTX9B8YJ,F5WOUN9K3QHK85WOWNMN
QGAN8Q8R1MYC9Y1UFQ9O,NTFBS3C5O5HPWTX9B8YJ,IPMGOLAJ4JETEJNICKGK
P4TQQ0M0AG1VUGYFQO0F,NTFBS3C5O5HPWTX9B8YJ,D5A9RKWKZWTPZLFLQFIQ
2Z2KB4NGKO8VS3H0ELVX,P074WP7NLCCMPJ200PE8,GDF0B498052HL5ZV59WK
4QYFAB4AZDMQ39WF69Q9,P074WP7NLCCMPJ200PE8,BXEEQPL0ZGR1SLWWC8EC
XI2Z83QX5ORGQB7R257C,P074WP7NLCCMPJ200PE8,50X1JQ1ZQB3QQ1NTWXGL
USIOBEQEVDS057VU0M5Q,P074WP7NLCCMPJ200PE8,VBTUI3V31CX2A3KYYGJ1
BAJMZ8JRRIOV4UM5V7BP,P074WP7NLCCMPJ200PE8,XDANAXWLHAOCZ46SDOCB
IMH074LBN16V9368XBWD,P074WP7NLCCMPJ200PE8,F22F35JTCAXU9YD5QFDE
8G0YKLC4CKC3G4W49NEK,P074WP7NLCCMPJ200PE8,8XZ32FEX9ZPW1HGGXHJF
Z267DVTQASOP6L5FOLS7,P074WP7NLCCMPJ200PE8,VHV4RE261I5ZTH9B33AC
R8QU0IU3T4ZL2AQY6HZN,P074WP7NLCCMPJ200PE8,8TM8HI2OSVPF807AWKAF
8PJH9C1W4KBKSETTMY5B,P074WP7NLCCMPJ200PE8,9RZ8CQ6ER6I8R8BNYITM
L4W94FLKLO90E22LZDBC,P074WP7NLCCMPJ200PE8,9Q2MT23BG1FFO9PPI92T
6P97CJ5OBJVKXISIMP1N,P074WP7NLCCMPJ200PE8,DUWMRZD5VH8S14GNP2QG
KEXVWYJR5GVFNFZ8T05Y,P074WP7NLCCMPJ200PE8,I3WL5QAZ6RX8DBA8IL1O
74OI72GOCK408N8ARTOJ,P074WP7NLCCMPJ200PE8,LCI5SWVW5MDC20Q357PC
0TAFUO99TA2E8RRLJM2F,P074WP7NLCCMPJ200PE8,DFNH3GD5YF7BEJM63E86
PJQRZFOE5F4RJ5BQ30G3,P074WP7NLCCMPJ200PE8,H43ON4TP3ZCI06OXRUV5
WXSU8XRYJY89JO8ARKJ8,P074WP7NLCCMPJ200PE8,ACS6QUZ5JWXWML6L831Z
LSO7B5G6X1X918I7TITA,P074WP7NLCCMPJ200PE8,PSEMAQZ6H5CY3EY42J04
TJPMR9JD0P4NFE9YV1QE,P074WP7NLCCMPJ200PE8,C2AQLW7SJLDNXULOS6UO
AH8W6ZBM7OOYRCDQ17TN,P074WP7NLCCMPJ200PE8,BRZLCK5WYBFT3X2YQNB9
KL170HP56JUMVN0YHDT1,P074WP7NLCCMPJ200PE8,A5YVEIR9NSNA8CMYEY04
8D7UGPIAHSJSTYTO4L4P,P074WP7NLCCMPJ200PE8,3K0DT26RW3U0JD1FH8OF
PTVI82R9U1TKZF6PKE7E,P074WP7NLCCMPJ200PE8,QVG3XC80I7BPW1N3GTC0
XAVY0ZS4PQIDNZVSEEB7,P074WP7NLCCMPJ200PE8,T1A79PW5J4KFLIPZK2QS
XFP3RKV3RZPTU6Z6T1Q2,5XHLA2Y7H0QLFD1DWNY8,ZB7G6X6PICP3HQZ740V1
IU69NWDQ9G9FY9BUIK8Q,5XHLA2Y7H0QLFD1DWNY8,UEDCRHISDXBWWQK9AP2O
ZQ7CJMD0JMLUF696NXNV,5XHLA2Y7H0QLFD1DWNY8,99UM5PUDFNAG5P5XECLM
B5EUBBS2NY5MOB3FGWIG,5XHLA2Y7H0QLFD1DWNY8,20939BWK4QHJ2Y213PQ3
91TR9RAU5W2QZS1FFDWG,5XHLA2Y7H0QLFD1DWNY8,41BS1TLOPXBHAW3K3MTK
13V8ED1FAUVAXHW37VRP,5XHLA2Y7H0QLFD1DWNY8,CH63RQGNMCB99O58GMRQ
9V3DBAT12P5G9VW45O33,5XHLA2Y7H0QLFD1DWNY8,DAB1RPKL2LTT7ZMW7BII
2F2D5VOYAV5PXZSCQIZ2,5XHLA2Y7H0QLFD1DWNY8,QODFY46H2ISUBI077MW6
QC1QEWFBYHSACEVZ7V04,5XHLA2Y7H0QLFD1DWNY8,CIN8T3JQ0H521XN0NZXQ
RLIIQFHW2H9ZSBOBZJW9,5XHLA2Y7H0QLFD1DWNY8,0WJYUTJBJ92S7QUTV6XG
6VIN7MFQD0J6RUT26NHE,5XHLA2Y7H0QLFD1DWNY8,XX4J1N8428EP3UDR7VP2
89OAFOEYI8H94I8U21KH,5XHLA2Y7H0QLFD1DWNY8,M3WYMD5YROJUHDRR3G0H
