cv_cid,course_title,course_no,year,semester,instructor_string,course_start,course_end,reg_start,reg_end,roster_limit,reg_workflow,course_type,status
0XZI7HDLAWRDD50A3S5Q,ทำอย่างไรให้สินค้า Go Inter ขายได้ขายดี และดังข้ามโลก,CU.MOOC.009,2017,1,รศ. ดร.วรวรรณ องค์ครุฑรักษา,1513011600,1517417999,1513011600,1514307599,2000,free_selfreg,selfpace,1
292JLHBNNB1FCHZ31P25,การสร้าง Infographics: What &#38; How ?,CU.MOOC.008,2017,1,ผศ.สมิทธิ์ บุญชุติมา,1510678800,1514739599,1510678800,1512061199,2000,free_selfreg,selfpace,1
XLR53L88VNA8M6QBXNZ4,IT Security,CU.MOOC.010,2017,1,ผศ. ดร.เกริก ภิรมย์โสภา,1513011600,1517417999,1513011600,1514307599,2000,free_selfreg,selfpace,1
Q56DOQ8I5QEOOR28I3F0,International Advertising and Marketing Communications,2803381,2017,1,รศ. ดร.วรวรรณ องค์ครุฑรักษา,1523379600,1527785999,1523379600,1524675599,1000,purchase_to_enroll,selfpace,1
31I5F0GZO7SJZQ6YW2M5,การตลาดในศตวรรษที่ 21 รุ่นที่ 2,CU.MOOC.001.02,2017,2,อ. ดร.กฤตินี พงษ์ธนเลิศ,1515430800,1519837199,1515430800,1516553999,2000,free_selfreg,selfpace,1
6UPBLIGCIUERR27OAEQE,Survival Thai,CU.MOOC.011,2017,2,"Office of International Affairs and Global Network, CU",1515949200,1519837199,1515949200,1519837199,2000,free_selfreg,selfpace,1
IZQQH5BIZTR18RBD8Z7L,Thai on Campus,CU.MOOC.012,2017,2,"Centre for Thai as a Foreign Language, Faculty of Arts, Chulalongkorn University",1515430800,1519837199,1515430800,1519837199,2000,free_selfreg,selfpace,1
YFKR1I2LVW5MWMFDEQDX,การทำความเข้าใจงบการเงิน (AMATA),CU.MOOC.002.AMATA,2017,2,ผศ. ดร.พิมพ์พนา ปีตธวัชชัย,0,0,0,0,60,purchase_to_enroll,selfpace,1
SWAAXVH11ALLQN7G45UY,Critical Thinking for Business (AMATA),CU.MOOC.004.AMATA,2017,2,ผศ. ดร.เดชา เดชะวัฒนไพศาล,0,0,0,0,60,purchase_to_enroll,selfpace,1
JXEY3KRXAA1G8UKKN486,การสร้าง Infographics: What &#38; How ? (AMATA),CU.MOOC.008.AMATA,2017,2,ผศ.สมิทธิ์ บุญชุติมา,0,0,0,0,60,purchase_to_enroll,selfpace,1
CG6QFRWN1SY7CGX4O10L,Microbiology in Dentistry Lab,3202205,2017,2,"Faculty of Dentistry, Chulalongkorn University",0,0,0,0,1000,purchase_to_enroll,selfpace,1
SB213UJWNB1OA9OBATG9,Role of Statistics in Engineering,CU.ENG.001,2017,2,ผศ. ดร.มาโนช โลหเตปานนท์,0,0,0,0,500,purchase_to_enroll,selfpace,1
GH3SDVVXEM61B0IQ9365,2803306 (2017/2) การสร้าง Infographics,2803306,2017,2,ผศ.สมิทธิ์ บุญชุติมา,0,0,0,0,2000,purchase_to_enroll,selfpace,1
J515WBLPALEP0TJK77OB,การทำความเข้าใจงบการเงิน รุ่นที่ 2,CU.MOOC.002.02,2017,2,ผศ. ดร.พิมพ์พนา ปีตธวัชชัย,1518109200,1522515599,1518109200,1519405199,2000,free_selfreg,selfpace,1
LRQ3O125BDTDCHUI6CL3,หลักการพื้นฐานทางกฎหมายทั่วไป,CU.MOOC.013,2017,2,รศ.มานิตย์ จุมปา,1518109200,1522515599,1518109200,1519405199,2000,free_selfreg,selfpace,1
7M978UYOQ7J2A0EGDK3D,Introduction to Data Analytics and Big Data,CU.MOOC.014,2017,2,คณาจารย์วิศวกรรมคอมพิวเตอร์ วิศวฯ จุฬาฯ,1528218000,1533056399,1528218000,1529427599,3500,free_selfreg,selfpace,1
42O8SFZVBF7FNR8ZVL3L,FEST by FE Camp 11,FECAMP,2017,2,พี่ ๆ วิศวฯ จุฬาฯ,0,0,0,0,750,purchase_to_enroll,selfpace,1
WDAYUWQPFCDLTEZMTH5P,การตลาดในศตวรรษที่ 21 (BIH),CU.MOOC.001.BIH,2017,2,อ. ดร.กฤตินี พงษ์ธนเลิศ,0,0,0,0,500,purchase_to_enroll,selfpace,1
SUU7V9EQ0VA8SX34BEZ6,การทำความเข้าใจงบการเงิน (BIH),CU.MOOC.002.BIH,2017,2,ผศ. ดร.พิมพ์พนา ปีตธวัชชัย,0,0,0,0,500,purchase_to_enroll,selfpace,1
PQ9L9SJHUPV15IN48NMP,Critical Thinking for Business (BIH),CU.MOOC.004.BIH,2017,2,ผศ. ดร.เดชา เดชะวัฒนไพศาล,0,0,0,0,500,purchase_to_enroll,selfpace,1
BI9YROMYAXVJ274847NJ,ทำอย่างไรให้สินค้า Go Inter ขายได้ขายดี และดังข้ามโลก (BIH), CU.MOOC.009.BIH,2017,2,รศ. ดร.วรวรรณ องค์ครุฑรักษา,0,0,0,0,500,purchase_to_enroll,selfpace,1
SHGDMDOJQKSN8OW91B3O,English for Careers I : For Hotel Staff (BIH),CU.MOOC.0005.BIH,2017,2,คณาจารย์จากสถาบันภาษา จุฬาลงกรณ์มหาวิทยาลัย,0,0,0,0,500,purchase_to_enroll,selfpace,1
EXUNPATF4LG006CP4AZ9,English for Careers II : For Restaurant Staff (BIH),CU.MOOC.0006.BIH,2017,2,คณาจารย์จากสถาบันภาษา จุฬาลงกรณ์มหาวิทยาลัย,0,0,0,0,500,purchase_to_enroll,selfpace,1
GO9R3FH2T2WXZO77V2LB,หลักการพื้นฐานทางกฎหมายทั่วไป (BIH),CU.MOOC.013.BIH,2017,2,รศ.มานิตย์ จุมปา,0,0,0,0,500,purchase_to_enroll,selfpace,1
0FVWM6K4PO7GY7UMS0CV,Introduction to Data Analytics and Big Data (BIH),CU.MOOC.014.BIH,2017,2,คณาจารย์วิศวกรรมคอมพิวเตอร์ วิศวฯ จุฬาฯ,0,0,0,0,500,purchase_to_enroll,selfpace,1
UF2D6JSZXY1PLZXMZ7KI,การสร้าง Infographics: What &#38; How ? (BIH),CU.MOOC.008.BIH,2017,2,ผศ.สมิทธิ์ บุญชุติมา,0,0,0,0,60,purchase_to_enroll,selfpace,1
FTNFRG85UOAQ28EDI2XK,"เคล็ดวิชาค้นคว้า 
 กระบวนท่านำเสนอผลงาน",CU.MOOC.015,2017,2,คณาจารย์จากภาควิชาบรรณารักษ์ศาสตร์ คณะอักษรศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,1521997200,1527785999,1521997200,1523033999,2000,free_selfreg,selfpace,1
DM7ISMNLA9OCD01MNZLU,Critical Thinking for Business รุ่นที่ 2,CU.MOOC.004.02,2017,2,ผศ. ดร.เดชา เดชะวัฒนไพศาล,1521478800,1527785999,1521478800,1522774799,2000,free_selfreg,selfpace,1
WTRSAXT0272U3FW881JH,การสร้าง Infographics: What & How? รุ่นที่ 2,CU.MOOC.008.02,2017,2,ผศ.สมิทธิ์ บุญชุติมา,1523379600,1527785999,1523379600,1527785999,2000,free_selfreg,selfpace,1
05D56Q0SK46GK59IAFJZ,หลักการพื้นฐานทางกฎหมายอาญา​,CU.MOOC.016,2017,2,อ.ฐิตินันท์ เต็งอำนวย,1523379600,1527785999,1523379600,1527785999,2000,free_selfreg,selfpace,1
FA6JAZ3XZFBY9NFCBFHD,ทำอย่างไรให้สินค้า Go Inter ขายได้ขายดี และดังข้ามโลก รุ่นที่ 2,CU.MOOC.009.02,2017,2,รศ. ดร.วรวรรณ องค์ครุฑรักษา,1525971600,1532969999,1523379600,1527785999,2000,free_selfreg,selfpace,1
XMTHLWG07XNN2F6ZR9Z0,ภาษารัสเซียเบื้องต้น,CU.MOOC.017,2017,2,อ. ดร.รมย์ ภิรมนตรี,1525971600,1532969999,1525971600,1527267599,2000,free_selfreg,selfpace,1
A7T2ID3H7OCA50HYLE5Y,Intro to Data Analytics and Big Data (SCB),CU.MOOC.014.SCB,2017,2,คณาจารย์วิศวกรรมคอมพิวเตอร์ วิศวฯ จุฬาฯ,1526403600,1537721999,1526403600,1537721999,200,purchase_to_enroll,selfpace,1
BVMJQ55OFZ5QDHC9S6K0,Survival Thai รุ่นที่ 2,CU.MOOC.011.02,2017,2,"Office of International Affairs and Global Network, CU",1525971600,0,0,0,5000,free_selfreg,selfpace,1
7CRXZBIZG3065FGF1EX7,Thai on Campus รุ่นที่ 2,CU.MOOC.012.02,2017,2,"Centre for Thai as a Foreign Language, Faculty of Arts, Chulalongkorn University",1525971600,0,0,0,5000,free_selfreg,selfpace,1
I8DFH7UV5ZTLVFVIRXU3,Intro to Data Analytics and Big Data รุ่นที่ 2,CU.MOOC.014.02,2017,3,คณาจารย์วิศวกรรมคอมพิวเตอร์ วิศวฯ จุฬาฯ,1528218000,1533056399,1528218000,1529341199,3500,free_selfreg,selfpace,1
UMF4ZAMAJ3UAKSY5URJR,เรื่องสิ่งแวดล้อมเรื่องของเรา: FOOD-WATER-ENERGY NEXUS,CU.MOOC.018,2017,3,รศ. ดร.พิสุทธิ์ เพียรมนกุล,1528131600,1533056399,1528131600,1529341199,2000,free_selfreg,selfpace,1
QRYBHUNIP0IACOIL71TG,หลักการพื้นฐานทางกฎหมายแพ่ง,CU.MOOC.019,2017,3,อาจารย์ชนิสา งามอภิชน,1528131600,1533056399,1528131600,1529341199,2000,free_selfreg,selfpace,1
BSMTU0C3CWZ9G56XRZJQ,เรื่องสิ่งแวดล้อมเรื่องของเรา: Environment 4.0,CU.MOOC.022,2017,3,รศ. ดร.พิสุทธิ์ เพียรมนกุล,1533834000,1538326799,1533834000,1535216399,2000,free_selfreg,selfpace,1
YQVZ25H43JGP4E8JPMR3,Electroplating & Surface Finishing Technology,CU.LIC.001,2017,3,รศ. ดร.ยุทธนันท์ บุญยงมณีรัตน์ และคณะ,1538326800,1542214799,1538326800,1542214799,50,purchase_to_enroll,selfpace,1
B5XYQHON1KZWVELUCFGC,การเรียนรู้เพื่อส่งเสริมพฤติกรรมป้องกันการบริโภคผลิตภัณฑ์ยาสูบ,BTC4744,2018,1,,1548889200,1554051540,1548889200,1554051540,30,purchase_to_enroll,selfpace,1
5PFO922O28W1W49T7T86,การตลาดในศตวรรษที่ 21 (Central),CENTRAL.001,2017,3,อ. ดร.กฤตินี พงษ์ธนเลิศ,1531069200,1534093199,1531069200,1534093199,50,purchase_to_enroll,selfpace,1
MQKOHT56SGU31VHOY1QE,การทำความเข้าใจงบการเงิน (Central),CENTRAL.002,2017,3,ผศ. ดร.พิมพ์พนา ปีตธวัชชัย,1531069200,1534093199,1531069200,1534093199,50,purchase_to_enroll,selfpace,1
FSZ5OXDS092PG0HGS584,Critical Thinking for Business (Central),CENTRAL.004,2017,3,ผศ. ดร.เดชา เดชะวัฒนไพศาล,1531069200,1534093199,1531069200,1534093199,50,purchase_to_enroll,selfpace,1
9KCRF279ORJRDE5FFK85,การสร้าง Infographics: What &#38; How ? (Central),CENTRAL.008,2017,3,ผศ.สมิทธิ์ บุญชุติมา,1531069200,1534093199,1531069200,1534093199,50,purchase_to_enroll,selfpace,1
JX096ZMWR6YC831QQIV9,Introduction to Data Analytics and Big Data (Central),CENTRAL.014,2017,3,คณาจารย์วิศวกรรมคอมพิวเตอร์ วิศวฯ จุฬาฯ,1531069200,1534093199,1531069200,1534093199,50,purchase_to_enroll,selfpace,1
IUVK8F29KDGDF29B1FY3,หลักการพื้นฐานทางกฎหมายทั่วไป (Central),CENTRAL.013,2017,3,รศ.มานิตย์ จุมปา,1531069200,1534093199,1531069200,1534093199,50,purchase_to_enroll,selfpace,1
LY6LS4ZRPQBNBQ31P4N8,English for Careers I : For Hotel Staff (Central),CENTRAL.005,2017,3,คณาจารย์จากสถาบันภาษา จุฬาลงกรณ์มหาวิทยาลัย,1531069200,1534093199,1531069200,1534093199,50,purchase_to_enroll,selfpace,1
BPT2UVG8KMNWA319T3UH,English for Careers II : For Restaurant Staff (Central),CENTRAL.006,2017,3,คณาจารย์จากสถาบันภาษา จุฬาลงกรณ์มหาวิทยาลัย,1531069200,1534093199,1531069200,1534093199,50,purchase_to_enroll,selfpace,1
Y8T3NR4J6KG7A2HVDACP,ภาษารัสเซียเบื้องต้น รุ่นที่ 2,CU.MOOC.017.02,2017,3,อ. ดร.รมย์ ภิรมนตรี,1531069200,1535734799,1531069200,1532105999,2000,free_selfreg,selfpace,1
97Q1CLKIGWEFNTWFZLIQ,ดนตรีคลาสสิกปริทรรศน์,CU.MOOC.020,2017,3,คณาจารย์จากสาขาวิชาดุริยางคศิลป์ตะวันตก ภาควิชาดุริยางคศิลป์ คณะศิลปกรรมศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,1531069200,1535734799,1531069200,1532105999,2000,free_selfreg,selfpace,1
1RJTD3WGX1GRFVMKS8L8,มหากาพย์ อังกฤษ อัพเกรด: ตั้งไข่ไวยากรณ์,CU.MOOC.021,2017,3,อ.มณฑิรา ดำรงมณี,1531069200,1535734799,1531069200,1532105999,4000,free_selfreg,selfpace,1
5A8YT3KKZLNDEKAFUC9G,มหากาพย์ อังกฤษ อัพเกรด: ไวยากรณ์พร้อมรบ,CU.MOOC.023,2018,1,อ.มณฑิรา ดำรงมณี,1533834000,1538326799,1533834000,1535216399,5000,free_selfreg,selfpace,1
49EKFHB6X4X50KIIGQ3X,ภาษาอาหรับในชีวิตประจำวัน รุ่นที่ 2,CU.MOOC.003.03,2018,1,อ. ดร.ทรงศักดิ์  หมัดสะและ,1533834000,1538326799,1533834000,1535216399,2000,free_selfreg,selfpace,1
M0IRJ9VS85X7U96SFTP3,การสร้าง Infographics: What & How ? (CommArt),CU.MOOC.008.CommArt,2018,1,ผศ.สมิทธิ์ บุญชุติมา,1533056400,1535734799,1533056400,1535734799,10,purchase_to_enroll,selfpace,1
R0TFDH0YSS8Z1TH0LTGU,ทำอย่างไรให้สินค้า Go Inter ขายได้ขายดี และดังข้ามโลก (CommArt),CU.MOOC.009.CommArt,2018,1,รศ. ดร.วรวรรณ องค์ครุฑรักษา,1533056400,1535734799,1533056400,1535734799,10,purchase_to_enroll,selfpace,1
US8Y4GR27ZCLXG1GAB1Z,การตลาดในศตวรรษที่ 21 (CommArt),CU.MOOC.001.CommArt,2018,1,อ. ดร.กฤตินี พงษ์ธนเลิศ,1533056400,1535734799,1533056400,1535734799,10,purchase_to_enroll,selfpace,1
HTN6K9QD73SGRMN08JHV,Intro to Data Analytics and Big Data (CommArt),CU.MOOC.014.CommArt,2018,1,คณาจารย์วิศวกรรมคอมพิวเตอร์ วิศวฯ จุฬาฯ,1533056400,1535734799,1533056400,1535734799,10,purchase_to_enroll,selfpace,1
NQ7EIITSJJKLR6J8B1A6,IT Security (CommArt),CU.MOOC.010.CommArt,2018,1,ผศ. ดร.เกริก ภิรมย์โสภา,1533056400,1535734799,1533056400,1535734799,10,purchase_to_enroll,selfpace,1
4FGWS62JAC841KUL6OU5,มหากาพย์ อังกฤษ อัพเกรด : โค้งสุดท้ายไวยากรณ์ และการออกเสียงภาษาอังกฤษ,CU.MOOC.024,2018,1,อ.มณฑิรา ดำรงมณี,1536166800,1541005199,1536166800,1541005199,5000,free_selfreg,selfpace,1
FW6GP1Z0HFS7NKLPRODK,มหากาพย์ อังกฤษ อัพเกรด : ศัพท์ทะลุ อ่านทะลวง,CU.MOOC.025,2018,1,อ.มณฑิรา ดำรงมณี,1538672400,1543597199,1538672400,1539968399,5000,free_selfreg,selfpace,1
H1VF4W3F9NZWLNVU0AHX,มหากาพย์ อังกฤษ อัพเกรด: Conversation มั่นใจ,CU.MOOC.027,2018,1,อ.มณฑิรา ดำรงมณี,1541350800,1546275599,1541350800,1546275599,5000,free_selfreg,selfpace,1
QX9XWN33N45ATFIDLU7R,เคล็ดวิชาค้นคว้า กระบวนท่านำเสนอผลงาน,2206103,2018,1,คณาจารย์จากภาควิชาบรรณารักษ์ศาสตร์ คณะอักษรศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,1534179600,1545238799,1534179600,1545238799,350,purchase_to_enroll,selfpace,1
LJ7CWPS4107HO2OYEVJH,Competing in a Data-Driven World: Understand and Know-How (ออมสิน),Achieve.GSB0101,2018,1,อ. ดร.วัชรา จันทาทับ,1537318800,1546016399,1537318800,1546016399,200,purchase_to_enroll,selfpace,1
G7KGARZ9Y4FSPYI8AYHA,Data Analytics and Big Data (ออมสิน),Achieve.GSB0102,2018,1,คณาจารย์วิศวกรรมคอมพิวเตอร์ วิศวฯ จุฬาฯ,1537318800,1546016399,1537318800,1546016399,200,purchase_to_enroll,selfpace,1
PR4N8GTOGF0HEZ1KY0CB,Practical Data Analytics Using RapidMiner (ออมสิน),Achieve.GSB0103,2018,1,ผศ. ดร.พีรพล เวทีกูล,1537318800,1546016399,1537318800,1546016399,200,purchase_to_enroll,selfpace,1
1ZIQTAU4ZA5AR8SAHCII,Python for Data Science (ออมสิน),Achieve.GSB0104,2018,1,ผศ. ดร.สุกรี สินธุภิญโญ,1537318800,1546016399,1537318800,1546016399,200,purchase_to_enroll,selfpace,1
SS4B1D09S76TNNBF739P,Data Science Pathway Test (ออมสิน),Achieve.GSB0105,2018,1,,1537318800,1546016399,1537318800,1546016399,200,purchase_to_enroll,selfpace,1
SNF5FFS045YAV05CVAUR,Intro to Data Analytics and Big Data รุ่นที่ 3,CU.MOOC.014.03,2018,1,คณาจารย์วิศวกรรมคอมพิวเตอร์ วิศวฯ จุฬาฯ,1536166800,1541005199,1536166800,1537549199,4000,free_selfreg,selfpace,1
7ZWXF4BD6PBEAUM94RDC,การสร้าง Infographics: What & How? รุ่นที่ 3,CU.MOOC.008.03,2018,1,ผศ.สมิทธิ์ บุญชุติมา,1536166800,1541005199,1536166800,1537549199,4000,free_selfreg,selfpace,1
AJMXHLS4EAHHIEIBRUD2,การตลาดในศตวรรษที่ 21 รุ่นที่ 3,CU.MOOC.001.03,2018,1,อ. ดร.กฤตินี พงษ์ธนเลิศ,1536166800,1541005199,1536166800,1537549199,4000,free_selfreg,selfpace,1
324D932IBH0ECPJJ47EZ,"Unicorn journey: Startup Your Own Business, Module 1",DPU.001.01,2018,1,มหาวิทยาลัยธุรกิจบัณฑิตย์,1536232112,1540918799,1536232112,1540918799,2200,purchase_to_enroll,selfpace,1
BXE3RAFQUSRQYM4PDU9V,การควบคุมยาสูบพื้นฐาน (รอบที่ 1),TRC.ELearning,2018,1,,0,0,0,0,50,purchase_to_enroll,weekly,1
