cv_cid,course_title,course_no,year,semester,instructor_string,course_start,course_end,reg_start,reg_end,roster_limit,reg_workflow,course_type,status
IJ3E14KL0OJEZ0BHC6PY,Data Science Pathway Test (BAY GROUP),Achieve.BAY0105,2018,1,,1539565200,1549299540,1539565200,1549299540,200,purchase_to_enroll,selfpace,1
ONT8TSEMTHR8EVFQF6M7,การควบคุมยาสูบ รุ่นที่ 6,TRC001.Advanced,2018,1,,1509469200,1564678799,1541005200,1564678740,40,purchase_to_enroll,weekly,1
9PE6IVRI6M26W9XBOHI2,HRM From Theories to Practices,CU.MOOC.028,2018,1,ผศ. ดร.เดชา เดชะวัฒนไพศาล,1541350800,1546275599,1541350800,1546275599,4000,free_selfreg,selfpace,1
MJD5M2PJVXMJX9ZPZTE4,กฎหมายกับธุรกิจ Law for Business : กฎหมายพื้นฐาน​สำหรับธุรกิจ ,CU.MOOC.029,2018,1,อ.ชนิสา งามอภิชน,1541350800,1546275599,1541350800,1546275599,4000,free_selfreg,selfpace,1
YCMJNTZICOPPBMG39YCB,กฎหมายกับธุรกิจ Law for Business : กฎหมายกับธุรกิจยุค Thailand 4.0 และภาษีกับธุรกิจ ,CU.MOOC.030,2018,1,อ.ชนิสา งามอภิชน,1541350800,1546275599,1541350800,1546275599,4000,free_selfreg,selfpace,1
BAW87RSTT4V8F89UJQPM,การสร้าง Infographics,2803306,2018,1,ผศ.สมิทธิ์ บุญชุติมา,1540771200,1556600400,1540771200,1556557200,2000,purchase_to_enroll,selfpace,1
HH05GJBU7CKAWQTKILDY,การควบคุมยาสูบพื้นฐาน (รอบที่ 2),TRC001.Basic.02,2018,1,,1541026800,1546275540,1541026800,1544893140,50,purchase_to_enroll,weekly,1
G6HQ28BSRUYJVDM8MFOR,Competing in a Data-Driven World: Understand and Know-How (ออมสิน),CvTest0002,2018,1,อ. ดร.วัชรา จันทาทับ,1538067600,1546534800,1538067600,1546534800,30,purchase_to_enroll,selfpace,1
O4F03VTV89VMI1ZR8RVT,Competing in a Data-Driven World: Understand and Know-How (ออมสิน),CvTest0003,2018,1,อ. ดร.วัชรา จันทาทับ,1538067600,1546534800,1538067600,1546534800,30,purchase_to_enroll,selfpace,1
8H5LKESDYHDYMUCX0J7F,Competing in a Data-Driven World: Understand and Know-How (ออมสิน),CvTest0004,2018,1,อ. ดร.วัชรา จันทาทับ,1538067600,1546534800,1538067600,1546534800,30,purchase_to_enroll,selfpace,1
W12XLYO9SIA2S2RVOL6N,Liver scanning protocol: Liver disease and Surveillance of HCC and CHCA,PCCMS.001,2018,1,อ. นพ.สุรเชษฎ์ สิริพงษ์สกุล,1545930000,1554051599,1545930000,1554051599,520,purchase_to_enroll,selfpace,1
ZPPJREZ9VELW435D4UBD,Liver scanning protocol II: Diffuse liver lesion,PCCMS.002,2018,1,อ. นพ.สุรเชษฎ์ สิริพงษ์สกุล,1545930000,1554051599,1545930000,1554051599,500,purchase_to_enroll,selfpace,1
YZ7GNDPZ7XTVIJWT4SQZ,Liver scanning protocol III: Ultrasound surveillance of hepatocellular carcinoma,PCCMS.003,2018,1,อ. นพ.สุรเชษฎ์ สิริพงษ์สกุล,1545930000,1554051599,1545930000,1554051599,500,purchase_to_enroll,selfpace,1
D3IBELBWC4OVZWG4OYUA,Liver scanning protocol IV: Ultrasound surveillance of cholangiocarcinoma,PCCMS.004,2018,1,อ. นพ.สุรเชษฎ์ สิริพงษ์สกุล,1545930000,1554051599,1545930000,1554051599,500,purchase_to_enroll,selfpace,1
2M5XHUAT7K6OZQUWXAXS,Gallbladder scanning protocol,PCCMS.005,2018,1,อ. นพ.สุรเชษฎ์ สิริพงษ์สกุล,1545930000,1554051599,1545930000,1554051599,520,free_selfreg,selfpace,1
9VAMYTQ4WVHPNJ5XAC8O,Pancreas scanning protocol,PCCMS.006,2018,1,อ. นพ.สุรเชษฎ์ สิริพงษ์สกุล,1545930000,1554051599,1545930000,1554051599,520,free_selfreg,selfpace,1
WJT59AIPVL7M0WV7C6FW,ดนตรีคลาสสิกปริทรรศน์ รุ่นที่ 2,CU.MOOC.020.02,2018,1,คณาจารย์จากสาขาวิชาดุริยางคศิลป์ตะวันตก ภาควิชาดุริยางคศิลป์ คณะศิลปกรรมศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,1544461200,1548953999,1544461200,1548953999,4000,free_selfreg,selfpace,1
OTS26V4DL3U4LE4YHWAF,ทำอย่างไรให้สินค้า Go Inter ขายได้ขายดี และดังข้ามโลก รุ่นที่ 3,CU.MOOC.009.03,2018,1,รศ. ดร.วรวรรณ องค์ครุฑรักษา,1544461200,1548953999,1544461200,1548953999,4000,free_selfreg,selfpace,1
QHFKPN7D6QDV9226ZDHW,Intro to Data Analytics and Big Data รุ่นที่ 4,CU.MOOC.014.04,2018,1,คณาจารย์วิศวกรรมคอมพิวเตอร์ วิศวฯ จุฬาฯ,1544461200,1548953999,1544461200,1548953999,4000,free_selfreg,selfpace,1
9301L5BFKAFLGFS5P0BH,English for Job Hunters,CU.MOOC.031,2018,1,อ.มณฑิรา ดำรงมณี,1544461200,1548953999,1544461200,1548953999,4000,free_selfreg,selfpace,1
OS3YOHWIANL4SH40GJAY,Kidney scanning protocol,PCCMS.007,2018,1,อ. นพ.สุรเชษฎ์ สิริพงษ์สกุล,1545930000,1554051599,1545930000,1554051599,520,free_selfreg,selfpace,1
5Q8VUZ0183CTSIHYA3KM,Spleen scanning protocol,PCCMS.008,2018,1,อ. นพ.สุรเชษฎ์ สิริพงษ์สกุล,1545930000,1554051599,1545930000,1554051599,520,free_selfreg,selfpace,1
CO804VAMI3Q173FWDCCW,Abdominal great vessels scanning protocol,PCCMS.009,2018,1,อ. นพ.สุรเชษฎ์ สิริพงษ์สกุล,1545930000,1554051599,1545930000,1554051599,520,free_selfreg,selfpace,1
Z7OZEUR8OOZLFTRJ3S0U,Bladder and female pelvis scanning protocol,PCCMS.010,2018,1,อ. นพ.สุรเชษฎ์ สิริพงษ์สกุล,1545930000,1554051599,1545930000,1554051599,500,free_selfreg,selfpace,1
C3C08QNNXXDFWIVUEDAL,"Unicorn journey: Startup Your Own Business, Module 3",DPU.001.03,2018,1,มหาวิทยาลัยธุรกิจบัณฑิตย์,1545152400,1548950400,1545152400,1548950400,2200,purchase_to_enroll,selfpace,1
3VVLFFEXB4QFLHEYISFB,International Advertising and Marketing Communications,2803381,2018,2,รศ. ดร.วรวรรณ องค์ครุฑรักษา,1546794000,1575565199,1546794000,1575565199,1000,purchase_to_enroll,selfpace,1
KTDV6J95MMM8T3NYTKJ8,Critical Thinking for Business รุ่นที่ 3,CU.MOOC.004.03,2018,2,ผศ. ดร.เดชา เดชะวัฒนไพศาล,1546563600,1551373199,1546563600,1551373199,4000,free_selfreg,selfpace,1
FNONNX6ZNA8NP3F1FCTV,มหากาพย์ อังกฤษ อัพเกรด: ตั้งไข่ไวยากรณ์ รุ่นที่ 2,CU.MOOC.021.02,2018,2,อ.มณฑิรา ดำรงมณี,1546563600,1551373199,1546563600,1551373199,4000,free_selfreg,selfpace,1
WJRPZZZ2IEYBGO5YLJ4U,การประชาสัมพันธ์ผ่านวิทยุและโทรทัศน์,CU.MOOC.032,2018,2,ผศ. ดร.สมิทธิ์  บุญชุติมา,1546563600,1551373199,1546563600,1551373199,4000,free_selfreg,selfpace,1
8DVSLDRXSBL4GTEXMGMH,วิชาแพะ : นวัตกรรมทางระบบสืบพันธุ์ขั้นสูงเพื่อขับเคลื่อนการผลิตแพะ,CU.MOOC.033,2018,2,ศ. น.สพ. ดร.มงคล  เตชะกำพุ,1546563600,1551373199,1546563600,1551373199,4000,free_selfreg,selfpace,1
SNC85GBZ33BCQ5UPP0V3,ยานยนต์ไฟฟ้า - กุญแจสู่การสัญจรยุคหน้า (EV - The key to future mobility),CU.MOOC.034,2018,2,รศ. ดร.อังคีร์  ศรีภคากร,1547686800,1577811599,1547686800,1577811599,500,purchase_to_enroll,selfpace,1
E3RVI697B01UP5E1M85J,FEAT by FE Camp 12,FECAMP,2018,2,พี่ ๆ วิศวฯ จุฬาฯ,0,0,0,0,750,purchase_to_enroll,selfpace,1
0UY15UUH9L0IULU6GDG5,การควบคุมยาสูบพื้นฐาน (รอบที่ 3),TRC001.Basic.03,2018,2,,1546909200,1561913940,1546909200,1553965140,500,purchase_to_enroll,weekly,1
MMDD3WQPWTPBBPWHAG7R,เรื่องสิ่งแวดล้อมเรื่องของเรา: Environment 4.0 รุ่นที่ 2,CU.MOOC.022.02,2018,2,รศ. ดร.พิสุทธิ์ เพียรมนกุล,1547485200,1554051599,1547485200,1554051599,4000,free_selfreg,selfpace,1
W1ZAXUF9RMH9RXW23FPR,ภาษาอาหรับเบื้องต้น รุ่นที่ 2,CU.MOOC.007.02,2018,2,อ. ดร.ทรงศักดิ์  หมัดสะและ และ อ. นิรันดร์ ขันธวิธี ,1510678800,1514739599,1510678800,1512061199,4000,purchase_to_enroll,selfpace,1
U7F5UF69BSIK0VPCU0YR,มหากาพย์ อังกฤษ อัพเกรด: ไวยากรณ์พร้อมรบ รุ่นที่ 2,CU.MOOC.023.02,2018,2,อ.มณฑิรา ดำรงมณี,1549501200,1554051599,1549501200,1554051599,4000,free_selfreg,selfpace,1
1E4ZGDM7EPGXFLDK98QY,หลักการพื้นฐานทางกฎหมายทั่วไป รุ่นที่ 2,CU.MOOC.013.02,2018,2,รศ.มานิตย์ จุมปา,1549501200,1554051599,1549501200,1554051599,4000,free_selfreg,selfpace,1
SGP9F43DAG6T1JYH08LV,ทรัพย์สินทางปัญญากับธุรกิจ และการพัฒนานวัตกรรม,CU.MOOC.035,2018,2,รศ. ดร.ดวงหทัย  เพ็ญตระกูล,1549501200,1554051599,1549501200,1554051599,4000,free_selfreg,selfpace,1
797SYVREJDLR1NGTXEZ6,นาฏยกรรมสยาม ตอน “ลิเก มรดกไทยในยุคสังคมเมือง”,CU.MOOC.036,2018,2,ผศ. ดร.อนุกูล โรจนสุขสมบูรณ์,1549501200,1554051599,1549501200,1554051599,4000,free_selfreg,selfpace,1
9WCRCY8QA1QIDTGAO4KN,Intro to Social Psychology for Business (Michelin),Achieve.Michelin0201,2018,2,ศ.ดร.กิตติคุณ ศักดา ปั้นเหน่งเพ็ชร์ และ อ.ดร.ธีรดา จงกลรัตนาภรณ์,1549846800,1558717199,1549846800,1558717199,54,purchase_to_enroll,selfpace,1
